MaintenanceWorkId,Date,Time,WorksDescription,EquipmentId,TimeTaken
1,15/05/2014,8:46,tristique est et tempus semper est quam pharetra magna ac,1,42
2,3/03/2013,15:47,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,4,147
3,20/11/2013,15:21,viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper,2,203
4,15/11/2013,8:36,sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,2,123
5,28/06/2014,14:25,ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit,5,280
6,15/05/2013,13:02,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,10,238
7,26/05/2013,14:04,lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,2,280
8,18/03/2014,11:39,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,10,236
9,6/12/2013,14:24,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede,4,240
10,31/01/2014,11:04,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,1,27
11,12/03/2013,15:51,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,7,209
12,17/10/2013,10:10,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,5,324
13,6/11/2012,9:56,dapibus duis at velit eu est congue elementum in hac,8,272
14,7/07/2013,9:37,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,4,39
15,12/11/2013,15:10,morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,9,249
16,9/03/2013,15:53,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien,1,163
17,2/07/2014,8:28,blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,1,278
18,9/04/2013,10:41,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,2,244
19,27/04/2013,10:27,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,7,272
20,2/02/2013,14:15,justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat,1,146
21,14/03/2013,14:30,eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,3,90
22,20/04/2013,14:07,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel,6,32
23,28/05/2014,13:19,pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,1,51
24,1/06/2013,13:17,nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa,10,261
25,14/03/2014,16:26,eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus,3,313
26,15/10/2013,11:53,pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet,8,122
27,21/10/2013,10:40,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut,1,324
28,31/12/2012,8:55,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum,8,241
